NAME,SIZE,LOCATION_HQ,INDUSTRY,RATING_OVERALL,RATING_DI,RATING_CV,RATING_WL,RATING_SM,RATING_CB,RATING_CO,NUM_REVIEWS,DESCRIPTION,MISSION
Darden,10000+ Employees,"Orlando, FL",Casual Restaurants,4.1,4.2,3.9,3.7,3.6,3.8,3.8,"See All 1,799 Reviews","The Darden family of restaurants features some of the most recognizable and successful brands in full-service dining: Olive Garden, LongHorn Steakhouse, Bahama Breeze, Seasons 52, The Capital Grille, Eddie V's and Yard House. Through subsidiaries, we own and operate more than 1,500 restaurants, employ more than 150,000 people and serve more than 320 million meals a year.",N/A
US Department of Defense,10000+ Employees,"Washington, DC",Aerospace & Defense,4.1,4.0,3.8,3.7,3.3,4.2,4.0,"See All 2,698 Reviews","No matter how you measure it, by aircraft, ships, or active-duty military personnel, the US Department of Defense (DoD) is big. Except for Social Security, the Department of Defense -- comprising the Army, Navy, Air Force, Marines, National Guard, Reserves, and more than a dozen defense agencies -- is the largest component of US government spending. The 2012 budget for the Department of Defense is more than $670 billion, 18% of which will be used to fund the ongoing military engagements in Afghanistan and Iraq. The DoD maintains a force of about 1.4 million active duty service members and operates thousands of facilities around the world.",N/A
Bloomberg L.P.,10000+ Employees,"New York, NY",Computer Hardware & Software,4.1,4.4,4.1,3.9,3.5,4.1,3.7,"See All 4,852 Reviews","Born in 1981, Bloomberg is the world's primary distributor of financial data and a top news provider of the 21st century. A global information and technology company, we use our dynamic network of data, ideas and analysis to solve difficult problems. Our customers around the world rely on us to deliver accurate, real-time business and market information that helps them make important financial decisions.","Mission: At Bloomberg, we are guided by four core values that are the foundation of our continued success: innovation, collaboration, customer service and doing the right thing.

We harness the power of data and analytics to organize, understand and improve our world.

It's our purpose. Come find yours."
Dell Technologies,10000+ Employees,"Round Rock, TX",IT Services,4.1,4.3,4.2,4.2,3.7,3.9,3.9,"See All 19,319 Reviews","Dell is a collective of customer-obsessed, industry-leading visionaries. At our core is a commitment to diversity, sustainability and our communities. We offer unparalleled growth and development opportunities for our team members. We believe that technology is essential for driving human progress, and we’re committed to providing that technology to people and organizations everywhere, so they can transform the way they work and live.

Dell Technologies is a unique family of businesses that provides the essential infrastructure for organizations to build their digital future, transform IT and protect their most important asset: information. The company services customers of all sizes across 180 countries – ranging from 98 percent of the Fortune 500 to individual consumers – with the industry’s most comprehensive and innovative portfolio from the edge to the core to the cloud.",N/A
Costco Wholesale,10000+ Employees,"Issaquah, WA",General Merchandise & Superstores,4.1,4.2,4.0,3.6,3.6,4.4,3.9,"See All 8,108 Reviews","Costco Wholesale is the largest wholesale club operator in the US. The company operates more than 590 membership warehouse stores serving some 64 million cardholders in 40 US states and Australia, Canada, Japan, Mexico, Puerto Rico, South Korea, Taiwan, and the UK, primarily under the Costco Wholesale name. Stores offer discount prices on an average of about 4,000 products (many in bulk packaging), ranging from alcoholic beverages and appliances to fresh food, pharmaceuticals, and tires. Certain club memberships also offer products and services such as car and home insurance, mortgage and real estate services, and travel packages.",N/A
"Massachusetts General Hospital
Part of Mass General Brigham",10000+ Employees,"Boston, MA",Health Care Services & Hospitals,4.1,4.1,4.1,3.9,3.6,3.5,4.0,"See All 1,611 Reviews","Massachusetts General Hospital (Mass General) is hardly general. The 200-year-old acute care hospital is Harvard Medical School's original and largest teaching hospital. With some 900 beds, Mass General has its main campus in Boston and operates several health centers in surrounding communities. Its specialized medical departments include cancer, cardiology and heart surgery, neurology and neurosurgery, and diabetes and endocrinology. As a leading research facility, Mass General hosts a gaggle of clinical trials and has an annual research budget approaching $700 million. The hospital is a founding member of the Partners HealthCare System (along with Brigham and Women's).","Mission: Guided by the needs of our patients and their families, we aim to deliver the very best health care in a safe, compassionate environment; to advance that care through innovative research and education; and, to improve the health and well-being of the diverse communities we serve."
Marriott International,10000+ Employees,"Bethesda, MD","Hotels, Motels, & Resorts",4.1,4.3,4.1,3.5,3.8,3.7,4.0,"See All 10,139 Reviews","Marriott International is the world’s largest hotel company, with more brands, more hotels and more opportunities for associates to grow and succeed. With 7,200 properties, you’ll find us in your neighborhood and in more than 134 countries and territories across the globe. Learn about our 30 hotel brands at www.marriott.com. Find Your World.™",N/A
"Booz Allen Hamilton
Hiring Surge",10000+ Employees,"McLean, VA",Consulting,,,,,,,,"See All 5,787 Reviews","At Booz Allen, we believe that your talents are the gateway to tomorrow. Working at the leading-edge of AI, data science, digital transformation, cybersecurity, engineering, and health and science, we uncover and solve the emerging challenges of our time. Ours is a culture of innovation, rooted in a collective desire to make a lasting impact that you will realize. The skills you’ll bring to our team, coupled with the unparalleled missions you’ll serve, will shift the way the world works and lead us into the future. Change is within reach—and it all starts with you.",N/A
Fidelity Investments,10000+ Employees,"Boston, MA",Investment Banking & Asset Management,4.1,4.3,4.2,4.1,3.7,4.1,3.9,"See All 8,578 Reviews","At Fidelity, we are focused on making our financial expertise broadly accessible and effective in helping people live the lives they want— from the 23 million people investing their life savings, to the 20,000 businesses managing their employee benefits programs, to the 10,000 advisors and institutions needing innovative technology solutions to invest their clients’ money. To do this well, as a privately held company, we place a high degree of value in nurturing a work environment that attracts the best talent and reflects our commitment to being an employer of choice.",N/A
AMD,5001 to 10000 Employees,"Santa Clara, CA",Computer Hardware & Software,4.1,4.3,4.1,3.9,3.8,3.6,4.0,"See All 2,637 Reviews","At AMD, we are working to change the world for the better by driving innovation in high-performance computing, graphics, and visualization technologies ― the building blocks for gaming, immersive platforms, and the datacenter. Our passionate employees around the globe build great products that push the boundaries of what is possible. And we’re looking for creative people to join us in that work – people who want to challenge themselves and the status quo, collaborate with other brilliant minds, and help deliver the next-generation technologies that will change the world. Sound like you? Explore the opportunities available to come join our team.",N/A
SpaceX,5001 to 10000 Employees,"Hawthorne, CA",Aerospace & Defense,4.1,3.5,4.0,2.9,3.6,3.9,4.0,"See All 1,969 Reviews","We've assembled an exceptional team of scrappy innovators committed to our mission. Helping achieve these goals will be one of the most challenging and rewarding endeavors of your career. You can expect to work alongside some of the brightest individuals and get exposure to leading-edge technology, while playing a direct role in shaping the future of humankind. We seek talented individuals with a pioneering spirit and a curiosity to seek what’s beyond the stars.","Mission: SpaceX was founded under the belief that a future where humanity is out exploring the stars is fundamentally more exciting than one where we are not. Today, SpaceX is actively developing the technologies to make this possible, with the ultimate goal of enabling human life on Mars."
UST,10000+ Employees,"Aliso Viejo, CA",IT Services,4.1,4.1,4.2,4.1,3.8,3.5,3.9,"See All 3,726 Reviews","UST is a global digital transformations solutions provider. For more than 20 years, UST has worked side by side with the world’s best companies to make a real impact through transformation. Powered by technology, inspired by people and led by purpose, UST partners with their clients from design to operation. With deep domain expertise and a future-proof philosophy, UST embeds innovation and agility into their clients’ organizations. With over 26,000 employees in 25 countries, UST builds for boundless impact—touching billions of lives in the process.",N/A
Mars,10000+ Employees,"Mc Lean, VA",Food & Beverage Manufacturing,4.1,4.2,4.2,3.9,3.6,4.0,3.7,"See All 2,801 Reviews","A Mars career opens up an exciting world of opportunities. Whether you’re looking for a dynamic career path, or if you want to become an expert in your field - the possibilities are endless. Spanning different geographies, business segments and functions, wherever we find ourselves throughout the 80+ countries we operate in, our mission and sense of community is global. We are motivated by the same purpose; to work together today for a better future tomorrow.

With a family of Associates - over 125,000-strong and growing - working to take Mars even further, we support their personal and professional development by providing access to stretch tasks and the freedom to explore what energizes them. We also support each other, our culture is relationship-driven, and all of this enables us to produce some of the world’s best-loved brands across four distinct segments - Mars Petcare, Mars Wrigley Confectionery, Mars Food and Mars Edge.","Mission: Our mission? To approach business with our Five Principles - Quality, Responsibility, Mutuality, Efficiency and Freedom - at the heart of everything we do. United by this common purpose and with relationships built on trust, dignity and mutual respect, we will achieve great things while delivering results we are proud of.
At Mars, your tomorrow starts today."
Kaiser Permanente,10000+ Employees,"Oakland, CA",Health Care Services & Hospitals,4.1,4.1,3.8,3.7,3.4,4.5,3.8,"See All 8,551 Reviews","At Kaiser Permanente, we are relentless in our pursuit of excellence. Founded nearly 80 years ago, our unique business model sets us apart — positioning us to drive improvements across the industry and around the world.

As the nation’s leading not-for-profit health plan, we proudly serve 11+ million members from 600+ locations in 8 states and D.C. Together, our 200,000+ employees work as one to positively impact the lives of our members, employees, and communities.

Come drive quality, inspire excellence, and create change for the better. Bring your talents to Kaiser Permanente, and see your visionary ideas make a difference in the lives of others. This is your opportunity to shape the future of health care.

Be essential.",N/A
Mayo Clinic,10000+ Employees,"Rochester, MN",Health Care Services & Hospitals,4.1,4.0,4.1,3.6,3.4,4.0,3.9,"See All 1,690 Reviews","Mayo Clinic is the first and largest integrated, not-for-profit medical group practice in the world. Doctors from every medical specialty work together to care for patients, joined by common systems and a philosophy that the needs of the patient come first. For more than 100 years, millions of people from all walks of life have found answers at Mayo Clinic. These patients tell us they leave Mayo Clinic with peace of mind knowing they received care from the world's leading experts. 4,878 physicians and scientists and 60,336 allied health staff work at Mayo, which has campuses in Rochester, Minn.; Jacksonville, Fla.; and Phoenix/Scottsdale, Ariz. Mayo Clinic also serves over 70 communities through Mayo Clinic Health System with locations in MN, IA, and WI. Collectively, these locations care for more than 1 million people each year. Mayo Clinic reinvests everything we earn into improving medical practice, research and education.","Mission: Mission
To inspire hope and contribute to health and well-being by providing the best care to every patient through integrated clinical practice, education and research.

Primary value
The needs of the patient come first.

Value statements
These values, which guide Mayo Clinic's mission to this day, are an expression of the vision and intent of our founders, the original Mayo physicians and the Sisters of Saint Francis.
Respect
Compassion
Integrity
Healing
Teamwork
Excellence
Innovation
Stewardship"
"Garmin
Hiring Surge",10000+ Employees,"Olathe, KS",Consumer Products Manufacturing,4.1,3.9,4.1,4.2,3.7,4.0,3.7,See All 926 Reviews,"We Fuel People's Passions. We make products for everywhere that people live, work and play. Our customers are passionate about our products. And so are we.

When you work at Garmin, adventure doesn't have to wait for the weekend. This is where you can put your passions into action. From test flights to training rides, there are so many ways to use our products and follow your passions every day.

To explore job opportunities at Garmin visit www.garmin.com/careers. #WeAreGarmin",N/A
Temple University,5001 to 10000 Employees,"Philadelphia, PA",Colleges & Universities,4.1,4.1,3.8,3.9,3.6,3.6,3.7,"See All 1,096 Reviews","Where better to worship a good education than at Temple University? Part of Pennsylvania's Commonwealth System of Higher Education, Temple has nine campuses in the Philadelphia area, as well as in Tokyo and Rome and educational programs in China, Greece, France, Israel, and the UK. About 40,000 students are enrolled in Temple's 320 academic programs. Temple's Health Sciences Center includes Temple University Hospital and schools that teach medicine and dentistry. The system has a student-teacher ratio of about 21:1. Dr. Russell Conwell founded Temple University in 1884; it was incorporated as Temple University in 1907.",N/A
Siemens,10000+ Employees,"Munich, Germany",Electrical & Electronic Manufacturing,4.1,4.1,3.9,4.0,3.5,3.8,3.7,"See All 11,755 Reviews","Siemens’ India journey began in 1867, when founder Werner von Siemens personally supervised the laying of the 1st telegraph line between London & Calcutta.

Ever since, we have partnered India’s growth through innovation in Industry, Energy, Healthcare, Railways, Infrastructure & Cities.

From building the world’s biggest transmission grid in North India, to making energy efficient solutions for core business verticals. From modernizing Indian Railways & Healthcare, to making cities sustainable, we’re enablers & implementers of leading-edge technologies.

We have implemented over 100 digitalization projects for 150 customers across India. Our latest innovation is the 1st 3D-printed component developed for Industrial Steam Turbines. In 2017, we transformed our Low-voltage Switchgear factory, Kalwa, into a globally benchmarked Digitalized Factory.

Our promise is ‘Ingenuity for life’, in which we take immense pride. This is what inspires 23,000 people at Siemens India to work together every day.",N/A
Merck,10000+ Employees,"Kenilworth, NJ",Biotech & Pharmaceuticals,4.1,4.2,4.0,3.9,3.7,4.0,3.7,"See All 4,259 Reviews",N/A,N/A
NIKE,10000+ Employees,"Beaverton, OR",Consumer Products Manufacturing,4.1,4.1,4.1,3.8,3.4,3.9,3.6,"See All 7,214 Reviews","NIKE, Inc. is the world’s leading designer, marketer and distributor of authentic athletic footwear, apparel, equipment and accessories for a wide variety of sports and fitness activities.

At Nike we see a world where everybody is an athlete—united in the joy of movement. Driven by our passion for sport and our instinct for innovation, we aim to elevate human potential. Whether our job is designing the ultimate sneaker or coding a revolutionary app, we’re united by the same mission: to bring inspiration and innovation to every athlete in the world. That means you. Because, as Bill Bowerman—Nike’s co-founder and legendary coach—once said, “If you have a body, you are an athlete.” Every day, we demand a better future for ourselves, our athletes, and our communities. We believe that diversity fosters creativity and accelerates innovation. We believe in protecting a planet where all athletes can thrive. And we believe every kid, everywhere, should have access to sport.

Based in Oregon, NIKE, Inc. includes the Nike, Converse, and Jordan brands. For more information, visit our company site at www.nike.com or our career site at jobs.nike.com.","Mission: Our mission is to bring inspiration and innovation to every athlete* in the world. [*If you have a body, you are an athlete.]

This mission drives us to do everything possible to expand human potential. We do that by creating groundbreaking sport innovations, by making our products more sustainably, by building a creative and diverse global team and by making a positive impact in communities where we live and work."
NIKE,10000+ Employees,"Beaverton, OR",Consumer Products Manufacturing,4.1,4.1,4.1,3.8,3.4,3.9,3.6,"See All 7,214 Reviews","NIKE, Inc. is the world’s leading designer, marketer and distributor of authentic athletic footwear, apparel, equipment and accessories for a wide variety of sports and fitness activities.

At Nike we see a world where everybody is an athlete—united in the joy of movement. Driven by our passion for sport and our instinct for innovation, we aim to elevate human potential. Whether our job is designing the ultimate sneaker or coding a revolutionary app, we’re united by the same mission: to bring inspiration and innovation to every athlete in the world. That means you. Because, as Bill Bowerman—Nike’s co-founder and legendary coach—once said, “If you have a body, you are an athlete.” Every day, we demand a better future for ourselves, our athletes, and our communities. We believe that diversity fosters creativity and accelerates innovation. We believe in protecting a planet where all athletes can thrive. And we believe every kid, everywhere, should have access to sport.

Based in Oregon, NIKE, Inc. includes the Nike, Converse, and Jordan brands. For more information, visit our company site at www.nike.com or our career site at jobs.nike.com.","Mission: Our mission is to bring inspiration and innovation to every athlete* in the world. [*If you have a body, you are an athlete.]

This mission drives us to do everything possible to expand human potential. We do that by creating groundbreaking sport innovations, by making our products more sustainably, by building a creative and diverse global team and by making a positive impact in communities where we live and work."
JetBlue,10000+ Employees,"Long Island City, NY",Transportation Management,4.1,4.4,4.1,3.8,3.3,3.7,3.8,"See All 1,466 Reviews","JetBlue is New York's Hometown Airline®, and a leading carrier in Boston, Fort Lauderdale-Hollywood, Los Angeles (Long Beach), Orlando, and San Juan. JetBlue carries more than 42 million customers a year to 100+ cities in the U.S., Caribbean, and Latin America with an average of more than 1,000 daily flights. For more information please visit www.jetblue.com.",N/A
PayPal,10000+ Employees,"San Jose, CA",Internet,4.1,4.3,4.1,3.9,3.5,4.2,3.6,"See All 4,331 Reviews","At PayPal, we believe that now is the time to democratize financial services so that moving and managing money is a right for all citizens, not just the affluent. We are driven by this purpose, and we uphold our cultural values of collaboration, innovation, wellness and inclusion as our guide for making decisions and conducting business every day. It is our duty and privilege to be customer champions and put those we serve at the center of everything we do.

We are one team that respects and values diversity of thought for everyone, everywhere, and we actively seek to create an energizing workplace that brings out the best in all of us. If you’re ready to shape the future of money, join the team at PayPal. We're proud to work here. You will be too.","Mission: At PayPal (Nasdaq: PYPL), we put people at the center of everything we do. Founded in 1998, we continue to be at the forefront of the digital payments revolution, last year we processed 4 billion payments, of which 1 billion were made on mobile devices. PayPal gives people better ways to connect to their money and to each other, helping them safely access and move their money and offering a choice of how they would like to pay or be paid."
"Nestlé USA
Part of Nestlé",10000+ Employees,"Arlington, VA",Food & Beverage Manufacturing,4.1,4.0,4.0,3.7,3.7,4.1,3.9,"See All 1,566 Reviews","At Nestlé, we’re doers. Our employees channel the heart and passion of entrepreneurs with the backing of the world’s largest food company. Here, you will challenge convention, yourself, and your colleagues to deliver the best results for our consumers. We believe in empowering employees to bust through roadblocks, speak up, and drive forward.

Nestlé is home to more than 200 U.S. locations in 34 states, including 68 manufacturing facilities. We employ more than 36,000 people in the United States.","Mission: We’re the food and beverage company behind lots of your favorites like Stouffer’s, Nesquik, Toll House, Lean Cuisine, and Häagen-Dazs, as well as new discoveries like Sweet Earth and Chameleon Cold-Brew coffee. Our business is innovating faster than ever and we’re always looking to find new ways to delight consumers while contributing to & families, communities, and the planet."
Unilever,10000+ Employees,"London, United Kingdom",Consumer Products Manufacturing,4.1,4.2,4.2,3.7,3.7,3.8,3.7,"See All 8,215 Reviews","On any given day, two billion people use Unilever products to look good, feel good and get more out of life.

With more than 400 brands focused on health and wellbeing, no company touches so many people’s lives in so many different ways.

Our portfolio ranges from nutritionally balanced foods to indulgent ice creams, affordable soaps, luxurious shampoos and everyday household care products. We produce world-leading brands including Lipton, Knorr, Dove, Axe, Hellmann’s and Omo, alongside trusted local names such as Blue Band, Pureit and Suave.

For us, sustainability is integral to how we do business. With 7 billion people on our planet, the earth’s resources can be strained. This means sustainable growth is the only acceptable model of growth for our business. The Unilever Sustainable Living Plan sets out to decouple our growth from our environmental impact, while at the same time increasing our positive social impact.","Mission: We believe that as a business we have a responsibility to our consumers and to the communities in which we have a presence. Around the world we invest in local economies and develop people’s skills inside and outside of Unilever. And through our business and brands, we run a range of programmes to promote hygiene, nutrition, empowerment and environmental awareness."
adidas,10000+ Employees,"Herzogenaurach, Germany",Consumer Products Manufacturing,4.0,4.1,4.0,3.8,3.2,3.5,3.4,"See All 3,487 Reviews",N/A,N/A
Google,10000+ Employees,"Mountain View, CA",Internet,4.5,4.4,4.4,4.3,4.1,4.5,4.3,"See All 18,362 Reviews","Google is not a conventional company, and we don’t intend to become one. True, we share attributes with the world’s most successful organizations – a focus on innovation and smart business practices comes to mind – but even as we continue to grow, we’re committed to retaining a small-company feel. At Google, we know that every employee has something important to say, and that every employee is integral to our success. We provide individually-tailored compensation packages that can be comprised of competitive salary, bonus, and equity components, along with the opportunity to earn further financial bonuses and rewards.

Googlers thrive in small, focused teams and high-energy environments, believe in the ability of technology to change the world, and are as passionate about their lives as they are about their work. For more information, visit careers.google.com.",N/A
Microsoft,10000+ Employees,"Redmond, WA",Computer Hardware & Software,4.4,4.4,4.3,4.1,4.0,4.1,4.1,"See All 29,390 Reviews","Our drive to change the world unites us!

Microsoft is the ideal place for people who have passion for their work and the desire to make an impact—in their careers, in the community and on the world. Microsoft is a unique company; and not just within the tech industry. Here, smart people thrive on their own terms and push their intelligence to its limit. The variety of job opportunities and career advancement at Microsoft is incredible and empowers you to constantly challenge yourself and chart your own course.",N/A
Apple,10000+ Employees,"Cupertino, CA",Computer Hardware & Software,4.3,4.4,4.3,3.7,3.7,4.3,3.8,"See All 20,848 Reviews","We’re a diverse collective of thinkers and doers, continually reimagining what’s possible to help us all do what we love in new ways. The people who work here have reinvented entire industries with the Mac, iPhone, iPad, and Apple Watch, as well as with services, including Apple TV, the App Store, Apple Music, and Apple Pay. And the same innovation that goes into our products also applies to our practices — strengthening our commitment to leave the world better than we found it.

Every new product we invent, service we create, or store we open is the result of people working together to make each other’s ideas stronger. That happens here because every one of us strives toward a common goal — creating the best customer experiences. So bring your passion, courage, and original thinking and get ready to share it. This is where your work can make a difference in people’s lives. Including your own.",N/A
US Air Force,10000+ Employees,"Washington, DC",Federal Agencies,4.2,4.2,4.0,3.3,3.4,4.3,4.2,"See All 16,600 Reviews","The mission of the US Department of the Air Force is to fly, fight, and win -- in air, space, and cyberspace. Along with the Army, Navy, and Marine Corps, the US Air Force is a major military branch of the US Department of Defense responsible for defending the US and its interests through aerial, space, and cyber warfare. The agency includes more than a dozen major commands, including the Air Force Reserve and Air National Guard. It also consists of field operating agencies and direct reporting units, which are typically assigned to specialized missions. It has more than 150,000 civilian employees and 330,000 active duty personnel, some of whom are deployed in Afghanistan, Iraq, and the Asia/Pacific region.",N/A
Cisco Systems,10000+ Employees,"San Jose, CA",Computer Hardware & Software,4.2,4.3,4.3,4.2,3.8,4.1,3.9,"See All 21,808 Reviews","#WeAreCisco, where each person is unique, but we bring our talents to work as a team and make a difference. Here’s how we do it.

We embrace digital, and help our customers implement change in their digital businesses. Some may think we’re “old” (30 years strong!) and only about hardware, but we’re also a software company. And a security company. A blockchain company. An AI/Machine Learning company. We even invented an intuitive network that adapts, predicts, learns and protects. No other company can do what we do – you can’t put us in a box!

But “Digital Transformation” is an empty buzz phrase without a culture that allows for innovation, creativity, and yes, even failure (if you learn from it.)

So, you have colorful hair? Don’t care. Tattoos? Show off your ink. Like polka dots? That’s cool. Pop culture geek? Many of us are. Passion for technology and world changing? Be you, with us!","Mission: Cisco wants you to bring your uniqueness, join teams to solve challenges, and work together to get results. Be you, with us! #WeAreCisco!

Day to day, we focus on the give and take. We give our best, we give our egos a break and we give of ourselves (because giving back is built into our DNA.) We take accountability, we take bold steps, and we take difference to heart. Because without diversity of thought and a commitment to equality for all, there is no moving forward."
