NAME,SIZE,LOCATION_HQ,INDUSTRY,RATING_OVERALL,RATING_DI,RATING_CV,RATING_WL,RATING_SM,RATING_CB,RATING_CO,NUM_REVIEWS,DESCRIPTION,MISSION,FULL_DESCRIPTION,TARGET
Michigan State University,10000+ Employees,"East Lansing, MI",Colleges & Universities,4.3,4.0,4.0,3.9,3.7,3.7,3.8,1797,"The Spartan population is anything but spartan, at least at Michigan State University (MSU). With an enrollment of roughly 47,000 students, MSU dominates the town of East Lansing. It offers more than 200 programs of study through 17 colleges. MSU is the only university in the country with three on-campus medical schools, graduating allopathic (MD) and osteopathic (DO) physicians, as well as veterinarians (DVMs). Its research breakthroughs range from the cross-fertilization of corn in the 1870s to developing a top-selling anticancer drug in the 1960s. MSU was founded in 1855 as a land-grant college under the name Agricultural College of the State of Michigan. It became a full university a century later.", ,"The Spartan population is anything but spartan, at least at Michigan State University (MSU). With an enrollment of roughly 47,000 students, MSU dominates the town of East Lansing. It offers more than 200 programs of study through 17 colleges. MSU is the only university in the country with three on-campus medical schools, graduating allopathic (MD) and osteopathic (DO) physicians, as well as veterinarians (DVMs). Its research breakthroughs range from the cross-fertilization of corn in the 1870s to developing a top-selling anticancer drug in the 1960s. MSU was founded in 1855 as a land-grant college under the name Agricultural College of the State of Michigan. It became a full university a century later. ",0
Florida International University,1001 to 5000 Employees,"Miami, FL",Colleges & Universities,4.3,4.4,4.2,4.2,3.8,3.6,3.8,1175,"Florida International University is Miami’s public research university. FIU is focused on student success. According to U.S. News and World Report, FIU has 35 programs in the top 100 in the nation among public universities, including 15 in the top 50. FIU is a top U.S. research university with more than $200 million in annual expenditures and is designated as an “Emerging Preeminent State Research University” by the Florida Board of Governors. FIU ranks 15th in the nation among public universities for patent production, which drives innovation, and is one of the institutions that helps make Florida the top state for higher education. The Next Horizon fundraising campaign is furthering FIU’s commitment to providing students Worlds Ahead opportunities. Today FIU has two campuses and multiple centers, and supports artistic and cultural engagement through its three museums: Patricia & Phillip Frost Art Museum, the Wolfsonian-FIU, and the Jewish Museum of Florida-FIU. FIU is a member of Conference USA, with more than 400 student-athletes participating in 18 sports. The university has awarded more than 330,000 degrees to many leaders in South Florida and beyond. For more information about FIU, visit www.fiu.edu.","Mission: Florida International University is an urban, multi-campus, public research university serving its students and the diverse population of South Florida. We are committed to high-quality teaching, state-of-the-art research and creative activity, and collaborative engagement with our local and global communities.","Florida International University is Miami’s public research university. FIU is focused on student success. According to U.S. News and World Report, FIU has 35 programs in the top 100 in the nation among public universities, including 15 in the top 50. FIU is a top U.S. research university with more than $200 million in annual expenditures and is designated as an “Emerging Preeminent State Research University” by the Florida Board of Governors. FIU ranks 15th in the nation among public universities for patent production, which drives innovation, and is one of the institutions that helps make Florida the top state for higher education. The Next Horizon fundraising campaign is furthering FIU’s commitment to providing students Worlds Ahead opportunities. Today FIU has two campuses and multiple centers, and supports artistic and cultural engagement through its three museums: Patricia & Phillip Frost Art Museum, the Wolfsonian-FIU, and the Jewish Museum of Florida-FIU. FIU is a member of Conference USA, with more than 400 student-athletes participating in 18 sports. The university has awarded more than 330,000 degrees to many leaders in South Florida and beyond. For more information about FIU, visit www.fiu.edu.Mission: Florida International University is an urban, multi-campus, public research university serving its students and the diverse population of South Florida. We are committed to high-quality teaching, state-of-the-art research and creative activity, and collaborative engagement with our local and global communities.",1
UKG (Ultimate Kronos Group),10000+ Employees,"Weston, FL",Enterprise Software & Network Solutions,4.3,4.4,4.5,4.4,4.1,4.4,4.0,3222,"At UKG™, our purpose is people. Formed by two leaders in HR solutions, UKG combines the strength and innovation of Ultimate Software and Kronos. Our love for all things HR and workforce management is matched only by our people-centered culture. Together, we’re committed to inspiring workforces and businesses around the world, helping to pave the way forward for our people, customers, and industry.'", ,"At UKG™, our purpose is people. Formed by two leaders in HR solutions, UKG combines the strength and innovation of Ultimate Software and Kronos. Our love for all things HR and workforce management is matched only by our people-centered culture. Together, we’re committed to inspiring workforces and businesses around the world, helping to pave the way forward for our people, customers, and industry.' ",1
University of California Berkeley,10000+ Employees,"Berkeley, CA",Colleges & Universities,4.3,4.2,4.1,3.8,3.7,3.6,4.0,2872,"The University of California at Berkeley has been organic from the beginning. UC Berkeley was created by the state's Organic Act of 1868, merging a private college and a land-grant institution. From modest East Bay beginnings came a world-class university that grew world-famous in the 1960s from the Free Speech Movement on campus, and for the social activism that still defines many of its students today. The 2,000 members of the faculty include eight Nobel laureates, four Pulitzer Prize winners, and 32 MacArthur Fellows (the ""genius awards""). UC Berkeley, also known as Cal Berkeley, annually educates about 25,500 undergraduates and some 10,300 graduate students. Its student-teacher ratio is 15:1.", ,"The University of California at Berkeley has been organic from the beginning. UC Berkeley was created by the state's Organic Act of 1868, merging a private college and a land-grant institution. From modest East Bay beginnings came a world-class university that grew world-famous in the 1960s from the Free Speech Movement on campus, and for the social activism that still defines many of its students today. The 2,000 members of the faculty include eight Nobel laureates, four Pulitzer Prize winners, and 32 MacArthur Fellows (the ""genius awards""). UC Berkeley, also known as Cal Berkeley, annually educates about 25,500 undergraduates and some 10,300 graduate students. Its student-teacher ratio is 15:1. ",1
UCLA,1001 to 5000 Employees,"Los Angeles, CA",Colleges & Universities,4.3,4.3,4.2,4.0,3.8,3.8,4.0,2903,"On a clear day, UCLA. That's an old joke, but the University of California, Los Angeles certainly qualifies as ""old school,"" having been founded in 1919. With its 419-acre campus in the Westwood Village area of LA, UCLA has one of the largest enrollment of students among the UC schools, with roughly 40,000 undergraduate and graduate students. The university's one college and about a dozen professional schools offer 125 undergraduate and 200 graduate programs. Being so close to Hollywood, UCLA's film school is renowned for turning out aspiring movie directors and screenwriters. The UCLA faculty numbers more than 4,800 instructors, including five Nobel laureates. The school has a student-teacher ratio of about 18:1.", ,"On a clear day, UCLA. That's an old joke, but the University of California, Los Angeles certainly qualifies as ""old school,"" having been founded in 1919. With its 419-acre campus in the Westwood Village area of LA, UCLA has one of the largest enrollment of students among the UC schools, with roughly 40,000 undergraduate and graduate students. The university's one college and about a dozen professional schools offer 125 undergraduate and 200 graduate programs. Being so close to Hollywood, UCLA's film school is renowned for turning out aspiring movie directors and screenwriters. The UCLA faculty numbers more than 4,800 instructors, including five Nobel laureates. The school has a student-teacher ratio of about 18:1. ",1
University of Iowa,10000+ Employees,"Iowa City, IA",Colleges & Universities,4.3,4.2,4.2,4.1,3.8,3.9,3.8,1121,"The University of Iowa Hawkeyes see clearly from their perch as the state's largest university. Founded in 1847, the University of Iowa has some 30,000 students (and a student-faculty ratio of about 17:1) at its Iowa City campus. It is home to nearly a dozen colleges spanning more than 100 areas of study, including distinguished programs in audiology, printmaking, speech pathology, nursing service administration, and creative writing (its Writers' Workshop was the nation's first creative writing advanced degree program). Among the University of Iowa's notable alumni are Al Jarreau, John Irving, Flannery O'Connor, Gene Wilder, and Tennessee Williams.", ,"The University of Iowa Hawkeyes see clearly from their perch as the state's largest university. Founded in 1847, the University of Iowa has some 30,000 students (and a student-faculty ratio of about 17:1) at its Iowa City campus. It is home to nearly a dozen colleges spanning more than 100 areas of study, including distinguished programs in audiology, printmaking, speech pathology, nursing service administration, and creative writing (its Writers' Workshop was the nation's first creative writing advanced degree program). Among the University of Iowa's notable alumni are Al Jarreau, John Irving, Flannery O'Connor, Gene Wilder, and Tennessee Williams. ",1
UC San Diego,10000+ Employees,"La Jolla, CA",Colleges & Universities,4.3,4.2,4.1,4.0,3.8,3.7,4.0,2721,"Established in 1912 and a full university since 1961, the University of California at San Diego (UCSD) is a scientific powerhouse. Its faculty currently boasts six Nobel laureates, seven National Medal of Science winners, and seven MacArthur Fellows (the ""genius awards""). The university is home to the San Diego Supercomputer Center, the Scripps Institution of Oceanography, and the UCSD Medical Center, among other research organizations. With an enrollment of some 29,000 students, UCSD has six undergraduate colleges as well as graduate and medical schools. The school is one of the ten campuses in the University of California System.", ,"Established in 1912 and a full university since 1961, the University of California at San Diego (UCSD) is a scientific powerhouse. Its faculty currently boasts six Nobel laureates, seven National Medal of Science winners, and seven MacArthur Fellows (the ""genius awards""). The university is home to the San Diego Supercomputer Center, the Scripps Institution of Oceanography, and the UCSD Medical Center, among other research organizations. With an enrollment of some 29,000 students, UCSD has six undergraduate colleges as well as graduate and medical schools. The school is one of the ten campuses in the University of California System. ",1
"Trader Joe's
Hiring Surge",10000+ Employees,"Monrovia, CA",Grocery Stores & Supermarkets,4.3,4.2,4.4,4.1,3.9,4.3,3.8,3774,"When it comes to grocery chains, Trader Joe's isn't your average Joe.

The company has 500+ stores in 42 states and over 40,000 employees dubbed “Crew Members”. The Crew Members are hard-working, fun people—people with a passion for food, learning, and creating an outstanding experience for their customers.

There are more than 3000 unique and everyday items in their private label, all at honest everyday low prices. Packaging innovative, hard-to-find, great-tasting foods under the “Trader Joe’s” name allows the company to cut costs and pass along the savings to their customers. And that’s important, because “Value” is a concept Trader Joe’s takes very seriously.", ,"When it comes to grocery chains, Trader Joe's isn't your average Joe.

The company has 500+ stores in 42 states and over 40,000 employees dubbed “Crew Members”. The Crew Members are hard-working, fun people—people with a passion for food, learning, and creating an outstanding experience for their customers.

There are more than 3000 unique and everyday items in their private label, all at honest everyday low prices. Packaging innovative, hard-to-find, great-tasting foods under the “Trader Joe’s” name allows the company to cut costs and pass along the savings to their customers. And that’s important, because “Value” is a concept Trader Joe’s takes very seriously. ",1
Indiana University,5001 to 10000 Employees,"Bloomington, IN",Colleges & Universities,4.2,4.0,4.1,4.0,3.7,3.7,3.8,1918,"Indiana University has been schooling Hoosiers since 1820. With a total student population of some 110,000, the university offers more than 1,000 associate, baccalaureate, master's, professional, and doctoral degree programs at eight campuses: flagship institution IU-Bloomington; regional campuses in Fort Wayne, Gary, Kokomo, New Albany, Richmond, and South Bend; and an urban campus in Indianapolis that is operated with Purdue University. An 1820 statute created the Indiana Seminary, the predecessor to Indiana University. In 1828 the legislature changed the name of the institution to Indiana College, and in 1838 it established Indiana University. Indiana University has a student teacher ratio of about 21:1.", ,"Indiana University has been schooling Hoosiers since 1820. With a total student population of some 110,000, the university offers more than 1,000 associate, baccalaureate, master's, professional, and doctoral degree programs at eight campuses: flagship institution IU-Bloomington; regional campuses in Fort Wayne, Gary, Kokomo, New Albany, Richmond, and South Bend; and an urban campus in Indianapolis that is operated with Purdue University. An 1820 statute created the Indiana Seminary, the predecessor to Indiana University. In 1828 the legislature changed the name of the institution to Indiana College, and in 1838 it established Indiana University. Indiana University has a student teacher ratio of about 21:1. ",0
Washington State University,5001 to 10000 Employees,"Pullman, WA",Colleges & Universities,4.2,4.1,3.9,4.0,3.5,3.6,3.7,986,"Founded in 1890 in Pullman, Washington State University (WSU) is Washington’s land-grant university with an overarching mission of improving the quality of life for all citizens – locally, nationally, and globally. WSU is committed to innovation and excellence in research and scholarship. WSU has a current enrollment of over 30,000 undergraduate, graduate, and professional students and approximately 6,000 faculty and staff at its five campuses (Pullman, Spokane, Tri-Cities, Vancouver, and Everett), as well as its numerous other locations across the State of Washington and online through its Global Campus. With a new President (Dr. Kirk Schulz began as the University’s 11th president in June 2016) and a new Vice President of Finance and Administration (Stacy Pearson started in March 2017); the University community is energized and excited.","Mission: Washington State University is a public research university committed to its land-grant heritage and tradition of service to society.

Washington State University will be recognized as one of the nation’s top 25 public research universities, preeminent in research and discovery, teaching, and engagement by 2030.","Founded in 1890 in Pullman, Washington State University (WSU) is Washington’s land-grant university with an overarching mission of improving the quality of life for all citizens – locally, nationally, and globally. WSU is committed to innovation and excellence in research and scholarship. WSU has a current enrollment of over 30,000 undergraduate, graduate, and professional students and approximately 6,000 faculty and staff at its five campuses (Pullman, Spokane, Tri-Cities, Vancouver, and Everett), as well as its numerous other locations across the State of Washington and online through its Global Campus. With a new President (Dr. Kirk Schulz began as the University’s 11th president in June 2016) and a new Vice President of Finance and Administration (Stacy Pearson started in March 2017); the University community is energized and excited.Mission: Washington State University is a public research university committed to its land-grant heritage and tradition of service to society.

Washington State University will be recognized as one of the nation’s top 25 public research universities, preeminent in research and discovery, teaching, and engagement by 2030.",1
NewYork-Presbyterian Hospital,10000+ Employees,"New York, NY",Health Care Services & Hospitals,4.2,4.3,4.2,4.0,3.8,4.4,4.2,1763,"At NewYork-Presbyterian, we put patients first in a compassionate culture of care and caring. It’s the kind of work that requires an unwavering commitment to excellence and a steady spirit of professionalism. And it’s a unique opportunity for you to collaborate with some of the brightest minds in health care, while building on our success as one of the nation’s best hospitals. From preventive, inpatient and ambulatory care, to technology management and beyond, all of our work is essential to the delivery of top-notch care.","Mission: NYP is one of the nation’s most comprehensive academic health care delivery systems, dedicated to providing the highest quality, most compassionate care to patients in the New York and throughout the globe. In collaboration with two renowned medical schools, Weill Cornell Medicine and Columbia University College of Physicians and Surgeons, NYP is consistently recognized as a leader in education, ground-breaking research and innovative, patient-centered care.","At NewYork-Presbyterian, we put patients first in a compassionate culture of care and caring. It’s the kind of work that requires an unwavering commitment to excellence and a steady spirit of professionalism. And it’s a unique opportunity for you to collaborate with some of the brightest minds in health care, while building on our success as one of the nation’s best hospitals. From preventive, inpatient and ambulatory care, to technology management and beyond, all of our work is essential to the delivery of top-notch care.Mission: NYP is one of the nation’s most comprehensive academic health care delivery systems, dedicated to providing the highest quality, most compassionate care to patients in the New York and throughout the globe. In collaboration with two renowned medical schools, Weill Cornell Medicine and Columbia University College of Physicians and Surgeons, NYP is consistently recognized as a leader in education, ground-breaking research and innovative, patient-centered care.",1
Bayer,10000+ Employees,"Leverkusen, Germany",Biotech & Pharmaceuticals,4.1,4.1,4.0,4.1,3.5,4.2,3.6,4290,"Bayer is a global company with a more than 150-year history and core competencies in the Life Science fields of health care and agriculture. Our products and services are designed to benefit people and improve their quality of life. We are committed to operating sustainably and addressing our social and ethical responsibilities. A career with Bayer means you can put your passion into practice and make an impact. To sustain and grow our business, we require diverse business perspectives and the flexibility to work with a variety of people wherever we do business. No matter what your professional interests are or which stage of your career you’re currently in, Bayer offers an exciting range of careers at the forefront of innovation in our Pharmaceuticals, Crop Science, and Consumer Health Divisions as well as Corporate Functions. Explore how you can impact our mission: Science For A Better Life at career.bayer.com", ,"Bayer is a global company with a more than 150-year history and core competencies in the Life Science fields of health care and agriculture. Our products and services are designed to benefit people and improve their quality of life. We are committed to operating sustainably and addressing our social and ethical responsibilities. A career with Bayer means you can put your passion into practice and make an impact. To sustain and grow our business, we require diverse business perspectives and the flexibility to work with a variety of people wherever we do business. No matter what your professional interests are or which stage of your career you’re currently in, Bayer offers an exciting range of careers at the forefront of innovation in our Pharmaceuticals, Crop Science, and Consumer Health Divisions as well as Corporate Functions. Explore how you can impact our mission: Science For A Better Life at career.bayer.com ",1
Netflix,5001 to 10000 Employees,"Los Gatos, CA",Internet,4.1,4.2,3.9,3.4,3.6,4.4,3.7,1263,"Netflix is the world's leading streaming entertainment service with 193 million paid memberships in over 190 countries enjoying TV series, documentaries and feature films across a wide variety of genres and languages. Members can watch as much as they want, anytime, anywhere, on any internet-connected screen. Members can play, pause and resume watching, all without commercials or commitments.", ,"Netflix is the world's leading streaming entertainment service with 193 million paid memberships in over 190 countries enjoying TV series, documentaries and feature films across a wide variety of genres and languages. Members can watch as much as they want, anytime, anywhere, on any internet-connected screen. Members can play, pause and resume watching, all without commercials or commitments. ",1
Goldman Sachs,10000+ Employees,"New York, NY",Investment Banking & Asset Management,4.1,4.1,3.9,3.0,3.7,4.0,4.1,9096,"The Goldman Sachs Group, Inc. is a leading global investment banking, securities and investment management firm that provides a wide range of financial services to a substantial and diversified client base that includes corporations, financial institutions, governments and high-net-worth individuals. Founded in 1869, the firm is headquartered in New York and maintains offices in all major financial centers around the world.", ,"The Goldman Sachs Group, Inc. is a leading global investment banking, securities and investment management firm that provides a wide range of financial services to a substantial and diversified client base that includes corporations, financial institutions, governments and high-net-worth individuals. Founded in 1869, the firm is headquartered in New York and maintains offices in all major financial centers around the world. ",1
HP Inc.,10000+ Employees,"Palo Alto, CA",Computer Hardware & Software,4.1,4.4,4.3,4.1,3.7,3.7,3.7,4801,"From day one, HP broke new ground by refusing to accept the status quo. Bill Hewlett and Dave Packard created more than an audio oscillator in their Palo Alto garage. They built a way of doing business—the HP Way. What started in Bill and Dave’s garage still thrives today. We continue to change the world with our products, our people, and our business practices. Reinvention is the key. It is the accelerant to growth. It drives us to create experiences that amaze.

Keep reinventing. It’s what we do.", ,"From day one, HP broke new ground by refusing to accept the status quo. Bill Hewlett and Dave Packard created more than an audio oscillator in their Palo Alto garage. They built a way of doing business—the HP Way. What started in Bill and Dave’s garage still thrives today. We continue to change the world with our products, our people, and our business practices. Reinvention is the key. It is the accelerant to growth. It drives us to create experiences that amaze.

Keep reinventing. It’s what we do. ",1
